"Município";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"220005 ACAUA";"19,42";"82,69";"106,41";"83,75";"85,06";"109,20";"115,29";"73,33";"82,30"
"220010 AGRICOLANDIA";"34,67";"93,85";"88,89";"114,00";"126,32";"94,74";"108,22";"65,43";"89,44"
"220020 AGUA BRANCA";"6,14";"108,50";"80,95";"83,39";"111,36";"91,21";"94,24";"63,64";"79,27"
"220025 ALAGOINHA DO PIAUI";"27,78";"85,00";"104,44";"64,04";"105,13";"94,87";"90,59";"90,59";"82,16"
"220027 ALEGRETE DO PIAUI";"29,73";"58,24";"77,61";"75,36";"145,76";"98,31";"131,48";"80,52";"82,91"
"220030 ALTO LONGA";"30,67";"88,03";"90,77";"81,95";"102,38";"96,03";"107,14";"71,23";"81,59"
"220040 ALTOS";"24,84";"83,33";"42,04";"99,05";"100,68";"91,84";"90,23";"48,37";"71,90"
"220045 ALVORADA DO GURGUEIA";"34,04";"63,16";"71,43";"71,62";"91,89";"106,76";"88,75";"76,92";"74,02"
"220050 AMARANTE";"5,30";"80,61";"53,65";"96,88";"114,68";"82,14";"83,01";"67,88";"72,72"
"220060 ANGICAL DO PIAUI";"44,44";"95,51";"69,88";"85,26";"143,21";"108,64";"80,87";"89,41";"88,60"
"220070 ANISIO DE ABREU";"5,11";"142,55";"97,83";"97,90";"88,00";"80,67";"79,58";"49,19";"80,89"
"220080 ANTONIO ALMEIDA";"37,50";"113,51";"118,42";"104,55";"76,00";"86,00";"100,00";"146,34";"95,47"
"220090 AROAZES";"9,68";"65,38";"113,73";"111,86";"123,88";"102,99";"74,42";"103,17";"82,45"
"220095 AROEIRAS DO ITAIM";"40,00";"111,11";"68,97";"104,76";"84,00";"44,00";"78,95";"100,00";"79,03"
"220100 ARRAIAL";"38,81";"201,32";"137,50";"98,04";"114,00";"114,00";"113,04";"71,67";"113,36"
"220105 ASSUNCAO DO PIAUI";"28,76";"100,00";"90,08";"121,10";"77,86";"77,10";"105,17";"84,68";"83,55"
"220110 AVELINO LOPES";"50,00";"91,26";"86,84";"64,13";"53,85";"58,24";"112,94";"58,42";"71,60"
"220115 BAIXA GRANDE DO RIBEIRO";"46,52";"80,95";"134,88";"83,95";"80,00";"85,00";"75,00";"91,60";"83,31"
"220117 BARRA D\'ALCANTARA";"6,67";"92,73";"92,73";"110,87";"140,00";"112,00";"68,97";"111,36";"92,06"
"220120 BARRAS";"22,57";"95,37";"87,58";"72,16";"76,88";"88,79";"99,18";"64,23";"75,25"
"220130 BARREIRAS DO PIAUI";"26,47";"110,00";"36,96";"35,42";"112,00";"96,00";"85,71";"82,05";"68,84"
"220140 BARRO DURO";"50,93";"134,00";"140,52";"92,16";"82,91";"75,21";"88,30";"101,23";"95,33"
"220150 BATALHA";"18,33";"76,24";"91,21";"89,71";"101,79";"69,35";"75,62";"44,32";"70,34"
"220155 BELA VISTA DO PIAUI";"45,00";"117,95";"19,30";"88,00";"83,33";"97,92";"86,27";"135,90";"79,59"
"220157 BELEM DO PIAUI";"0";"155,26";"19,35";"73,68";"143,33";"140,00";"97,22";"51,28";"79,52"
"220160 BENEDITINOS";"33,81";"128,21";"88,24";"102,34";"110,32";"49,21";"98,43";"61,98";"83,24"
"220170 BERTOLINIA";"41,18";"110,47";"63,33";"103,23";"101,22";"82,93";"80,00";"81,16";"83,08"
"220173 BETANIA DO PIAUI";"28,81";"79,67";"84,55";"95,56";"126,53";"100,00";"83,90";"90,38";"84,52"
"220177 BOA HORA";"36,67";"92,04";"88,35";"115,56";"85,71";"68,57";"121,95";"105,48";"86,22"
"220180 BOCAINA";"16,13";"63,16";"76,47";"119,44";"123,81";"83,33";"84,78";"107,69";"78,93"
"220190 BOM JESUS";"10,11";"115,14";"98,35";"93,86";"95,80";"109,07";"98,36";"123,98";"93,14"
"220191 BOM PRINCIPIO DO PIAUI";"11,97";"62,00";"116,09";"111,49";"94,44";"66,67";"108,00";"64,00";"75,60"
"220192 BONFIM DO PIAUI";"24,62";"85,00";"96,43";"90,79";"120,51";"106,41";"67,96";"77,65";"84,28"
"220194 BOQUEIRAO DO PIAUI";"34,38";"71,76";"84,62";"109,90";"94,83";"70,69";"94,32";"64,95";"78,31"
"220196 BRASILEIRA";"23,46";"76,47";"97,06";"102,20";"114,44";"84,44";"82,00";"107,06";"86,50"
"220198 BREJO DO PIAUI";"38,33";"93,75";"147,22";"61,90";"115,56";"82,22";"70,59";"79,55";"81,63"
"220200 BURITI DOS LOPES";"16,63";"85,96";"63,51";"43,51";"19,43";"37,26";"49,13";"57,93";"45,85"
"220202 BURITI DOS MONTES";"25,49";"133,77";"23,66";"62,16";"112,50";"98,61";"109,86";"62,82";"74,49"
"220205 CABECEIRAS DO PIAUI";"24,70";"77,92";"82,58";"183,19";"179,66";"74,58";"85,00";"79,21";"93,59"
"220207 CAJAZEIRAS DO PIAUI";"8,70";"95,00";"61,54";"128,00";"91,89";"86,49";"86,05";"123,68";"81,31"
"220208 CAJUEIRO DA PRAIA";"19,19";"70,71";"63,10";"79,55";"63,25";"80,34";"38,98";"50,00";"57,81"
"220209 CALDEIRAO GRANDE DO PIAUI";"3,95";"131,15";"68,49";"124,07";"153,57";"119,64";"121,88";"104,62";"98,81"
"220210 CAMPINAS DO PIAUI";"26,44";"112,50";"73,44";"71,83";"110,17";"106,78";"57,14";"8,93";"70,21"
"220211 CAMPO ALEGRE DO FIDALGO";"42,47";"87,01";"84,29";"83,33";"67,86";"91,07";"112,07";"76,67";"79,84"
"220213 CAMPO GRANDE DO PIAUI";"68,18";"82,98";"70,41";"97,18";"151,39";"68,06";"41,49";"100,00";"82,78"
"220217 CAMPO LARGO DO PIAUI";"13,04";"124,79";"80,95";"72,82";"54,31";"75,00";"100,00";"71,88";"74,18"
"220220 CAMPO MAIOR";"34,12";"69,78";"56,77";"66,16";"74,08";"72,99";"96,81";"85,95";"67,61"
"220225 CANAVIEIRA";"0";"64,62";"142,42";"100,00";"81,40";"83,72";"138,71";"85,11";"79,83"
"220230 CANTO DO BURITI";"26,48";"94,12";"82,46";"56,82";"66,67";"61,11";"78,72";"54,85";"64,89"
"220240 CAPITAO DE CAMPOS";"33,33";"90,36";"114,89";"89,16";"75,88";"51,76";"110,74";"44,05";"74,50"
"220245 CAPITAO GERVASIO OLIVEIRA";"12,28";"75,44";"38,64";"174,07";"78,43";"78,43";"93,55";"60,42";"70,78"
"220250 CARACOL";"18,88";"93,64";"70,62";"73,10";"70,51";"89,10";"83,89";"81,31";"71,77"
"220253 CARAUBAS DO PIAUI";"32,99";"95,65";"42,11";"52,86";"106,25";"111,25";"98,75";"116,67";"80,51"
"220255 CARIDADE DO PIAUI";"26,67";"94,44";"61,90";"66,22";"77,78";"73,61";"113,33";"80,49";"71,95"
"220260 CASTELO DO PIAUI";"24,28";"107,17";"79,38";"89,07";"88,85";"90,24";"113,01";"70,51";"80,98"
"220265 CAXINGO";"10,71";"84,54";"68,82";"95,40";"124,00";"105,33";"71,57";"86,59";"79,71"
"220270 COCAL";"12,69";"65,77";"68,07";"92,93";"87,50";"93,35";"91,54";"55,74";"69,13"
"220271 COCAL DE TELHA";"5,41";"85,51";"113,21";"91,67";"100,00";"98,67";"60,00";"87,72";"78,73"
"220272 COCAL DOS ALVES";"31,51";"94,32";"111,63";"57,83";"77,33";"93,33";"141,94";"134,43";"90,88"
"220273 COIVARAS";"0";"94,64";"66,67";"85,71";"46,94";"118,37";"119,61";"147,92";"82,52"
"220275 COLONIA DO GURGUEIA";"22,31";"94,06";"83,95";"106,85";"100,00";"81,71";"100,00";"96,30";"82,33"
"220277 COLONIA DO PIAUI";"41,41";"109,09";"59,26";"66,67";"44,68";"76,60";"59,30";"67,65";"64,56"
"220280 CONCEICAO DO CANINDE";"0";"59,46";"161,22";"86,67";"59,02";"108,20";"85,51";"64,94";"74,58"
"220285 CORONEL JOSE DIAS";"25,40";"76,00";"122,92";"103,77";"72,58";"80,65";"46,15";"87,76";"74,34"
"220290 CORRENTE";"12,35";"92,20";"97,62";"93,15";"101,18";"64,93";"104,91";"74,67";"80,04"
"220300 CRISTALANDIA DO PIAUI";"23,53";"97,12";"79,10";"86,67";"84,07";"66,37";"73,74";"67,01";"70,93"
"220310 CRISTINO CASTRO";"50,00";"87,77";"56,22";"40,85";"120,13";"94,81";"100,60";"127,95";"83,94"
"220320 CURIMATA";"2,88";"87,19";"90,66";"46,99";"56,29";"88,62";"90,38";"48,39";"63,62"
"220323 CURRAIS";"22,22";"58,82";"58,23";"73,42";"96,10";"96,10";"77,50";"20,00";"61,84"
"220325 CURRALINHOS";"17,81";"137,29";"86,49";"90,48";"105,08";"86,44";"164,71";"91,18";"93,68"
"220327 CURRAL NOVO DO PIAUI";"13,00";"108,54";"80,00";"108,97";"80,60";"77,61";"101,45";"101,37";"81,33"
"220330 DEMERVAL LOBAO";"35,60";"97,64";"105,95";"129,41";"186,34";"99,02";"99,10";"71,59";"102,15"
"220335 DIRCEU ARCOVERDE";"10,64";"95,51";"48,00";"36,46";"45,24";"38,10";"44,90";"36,46";"44,13"
"220340 DOM EXPEDITO LOPES";"27,37";"94,19";"104,05";"92,13";"90,36";"89,16";"91,30";"100,00";"84,72"
"220342 DOMINGOS MOURAO";"34,62";"81,54";"77,27";"56,25";"110,91";"70,91";"128,85";"71,19";"76,78"
"220345 DOM INOCENCIO";"27,00";"88,89";"71,00";"94,25";"84,04";"84,04";"123,38";"98,67";"81,87"
"220350 ELESBAO VELOSO";"8,26";"74,74";"135,59";"103,87";"100,00";"92,73";"109,27";"88,39";"85,83"
"220360 ELISEU MARTINS";"10,53";"106,98";"25,00";"96,00";"84,31";"76,47";"62,00";"100,00";"67,57"
"220370 ESPERANTINA";"28,00";"94,35";"60,94";"34,67";"37,34";"59,33";"77,88";"59,32";"56,08"
"220375 FARTURA DO PIAUI";"16,13";"102,99";"36,21";"25,61";"84,72";"75,00";"119,05";"61,04";"64,74"
"220380 FLORES DO PIAUI";"14,29";"84,93";"64,29";"98,08";"150,00";"161,90";"88,57";"85,48";"82,12"
"220385 FLORESTA DO PIAUI";"0";"116,67";"55,56";"0";"73,33";"76,67";"164,71";"67,86";"63,68"
"220390 FLORIANO";"20,87";"74,39";"87,10";"108,75";"39,44";"75,30";"77,56";"65,80";"67,91"
"220400 FRANCINOPOLIS";"10,17";"125,93";"88,06";"53,19";"133,33";"94,12";"96,67";"91,38";"86,13"
"220410 FRANCISCO AYRES";"40,32";"114,52";"67,86";"61,67";"85,25";"81,97";"81,25";"94,34";"78,29"
"220415 FRANCISCO MACEDO";"37,50";"55,77";"92,86";"104,88";"52,00";"66,00";"124,14";"68,57";"72,27"
"220420 FRANCISCO SANTOS";"8,45";"87,27";"51,43";"11,58";"0,81";"59,68";"113,64";"73,20";"47,34"
"220430 FRONTEIRAS";"0";"82,74";"81,98";"84,89";"74,51";"66,67";"81,51";"89,08";"68,43"
"220435 GEMINIANO";"16,88";"91,57";"76,83";"28,00";"63,77";"82,61";"72,22";"77,27";"64,07"
"220440 GILBUES";"16,50";"88,37";"91,21";"100,00";"41,40";"62,37";"70,27";"42,65";"63,16"
"220450 GUADALUPE";"32,26";"92,68";"77,09";"96,25";"80,65";"60,75";"92,98";"72,63";"76,26"
"220455 GUARIBAS";"9,30";"69,41";"88,57";"65,67";"1,69";"128,81";"126,39";"71,43";"68,90"
"220460 HUGO NAPOLEAO";"3,92";"124,07";"55,56";"78,43";"114,00";"98,00";"102,13";"126,83";"87,40"
"220465 ILHA GRANDE";"23,35";"85,96";"87,70";"10,14";"4,58";"49,67";"77,70";"32,93";"43,45"
"220470 INHUMA";"7,31";"90,72";"71,22";"68,81";"57,21";"65,67";"82,72";"78,26";"64,25"
"220480 IPIRANGA DO PIAUI";"29,50";"99,26";"110,53";"86,92";"20,00";"24,17";"44,86";"34,23";"56,66"
"220490 ISAIAS COELHO";"37,04";"100,78";"89,84";"106,09";"105,60";"100,80";"100,90";"91,13";"90,73"
"220500 ITAINOPOLIS";"15,11";"110,68";"121,05";"102,61";"100,94";"89,62";"113,51";"93,22";"90,26"
"220510 ITAUEIRA";"28,21";"92,36";"54,25";"70,67";"100,83";"82,64";"88,97";"69,78";"71,96"
"220515 JACOBINA DO PIAUI";"0";"98,72";"73,96";"79,76";"93,42";"89,47";"71,43";"105,45";"76,06"
"220520 JAICOS";"25,65";"62,50";"60,63";"50,70";"37,69";"38,60";"86,35";"70,22";"53,55"
"220525 JARDIM DO MULATO";"9,26";"65,45";"56,25";"77,05";"75,41";"80,33";"110,26";"68,52";"66,97"
"220527 JATOBA DO PIAUI";"18,28";"91,03";"63,64";"196,36";"57,63";"52,54";"114,58";"80,43";"78,37"
"220530 JERUMENHA";"6,56";"79,01";"76,79";"62,90";"19,54";"37,93";"47,95";"25,76";"43,98"
"220535 JOAO COSTA";"2,56";"116,22";"90,91";"84,21";"113,16";"100,00";"107,14";"77,78";"86,54"
"220540 JOAQUIM PIRES";"17,48";"101,79";"68,72";"105,43";"88,12";"91,09";"119,49";"76,58";"83,11"
"220545 JOCA MARQUES";"3,19";"94,79";"75,90";"78,21";"56,79";"80,25";"84,34";"84,15";"69,03"
"220550 JOSE DE FREITAS";"39,83";"94,96";"64,26";"57,68";"28,45";"64,31";"80,11";"92,06";"65,59"
"220551 JUAZEIRO DO PIAUI";"14,46";"130,16";"70,67";"72,73";"46,48";"61,97";"91,23";"104,26";"69,98"
"220552 JULIO BORGES";"28,26";"93,06";"101,67";"62,89";"33,33";"105,80";"96,05";"60,42";"70,05"
"220553 JUREMA";"10,98";"65,56";"71,83";"58,11";"114,52";"88,71";"76,56";"54,69";"65,38"
"220554 LAGOINHA DO PIAUI";"8,33";"70,27";"61,54";"21,43";"80,56";"113,89";"76,00";"129,03";"68,71"
"220555 LAGOA ALEGRE";"42,73";"114,29";"100,00";"115,97";"88,80";"84,00";"103,54";"67,24";"90,17"
