"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";" Total"
"220005 ACAUA";"112,38";"102,08";"89,32";"92,23";"77,67";"85,44";"82,69";"85,90";"98,75";"6,90";"84,10"
"220010 AGRICOLANDIA";"94,19";"103,80";"118,67";"92,00";"88,00";"56,00";"121,54";"95,83";"112,00";"5,26";"87,50"
"220020 AGUA BRANCA";"100,00";"101,05";"104,33";"99,28";"96,03";"92,06";"95,55";"78,75";"102,03";"9,52";"88,13"
"220025 ALAGOINHA DO PIAUI";"92,13";"110,09";"96,67";"97,78";"100,00";"73,33";"85,00";"100,00";"73,03";"6,41";"85,31"
"220027 ALEGRETE DO PIAUI";"117,74";"76,83";"132,43";"83,78";"89,19";"98,65";"65,93";"71,64";"81,16";"0";"89,81"
"220030 ALTO LONGA";"105,06";"83,78";"173,62";"155,83";"92,02";"47,85";"95,07";"69,23";"77,44";"10,32";"93,51"
"220040 ALTOS";"102,61";"94,68";"117,26";"112,42";"115,32";"75,81";"93,07";"34,17";"100,19";"7,99";"86,33"
"220045 ALVORADA DO GURGUEIA";"95,80";"96,30";"123,40";"89,36";"105,32";"36,17";"78,95";"70,24";"70,27";"2,70";"79,46"
"220050 AMARANTE";"101,60";"120,27";"131,44";"120,83";"130,30";"102,27";"90,49";"57,30";"98,83";"11,90";"97,12"
"220060 ANGICAL DO PIAUI";"133,93";"88,54";"114,44";"100,00";"105,56";"62,22";"93,26";"57,83";"73,68";"16,05";"86,57"
"220070 ANISIO DE ABREU";"143,41";"109,74";"113,14";"120,44";"110,22";"89,78";"108,51";"108,70";"90,91";"3,33";"98,79"
"220080 ANTONIO ALMEIDA";"100,00";"129,27";"97,92";"106,25";"83,33";"52,08";"105,41";"126,32";"93,18";"4,00";"87,83"
"220090 AROAZES";"104,44";"120,69";"100,00";"90,32";"78,49";"41,94";"67,95";"123,53";"101,69";"0";"90,09"
"220095 AROEIRAS DO ITAIM";"134,62";"104,76";"85,00";"150,00";"135,00";"95,00";"88,89";"65,52";"109,52";"0";"105,88"
"220100 ARRAIAL";"108,75";"93,42";"153,73";"95,52";"149,25";"174,63";"182,89";"109,38";"94,12";"0";"129,92"
"220105 ASSUNCAO DO PIAUI";"82,74";"119,59";"118,30";"94,77";"97,39";"64,71";"100,67";"85,95";"120,18";"0,76";"88,62"
"220110 AVELINO LOPES";"95,65";"115,84";"121,20";"98,91";"121,20";"51,63";"95,63";"86,84";"70,65";"3,30";"86,68"
"220115 BAIXA GRANDE DO RIBEIRO";"122,83";"115,15";"121,74";"100,87";"108,70";"78,26";"87,88";"131,98";"83,13";"31,36";"97,41"
"220117 BARRA D\'ALCANTARA";"105,88";"111,86";"157,78";"126,67";"164,44";"106,67";"103,64";"90,91";"100,00";"18,00";"107,26"
"220120 BARRAS";"115,52";"98,67";"110,60";"98,63";"96,13";"79,18";"102,91";"81,77";"78,43";"7,23";"88,12"
"220130 BARREIRAS DO PIAUI";"117,78";"110,42";"167,65";"132,35";"138,24";"152,94";"142,50";"30,43";"29,17";"12,00";"101,80"
"220140 BARRO DURO";"114,29";"100,99";"117,59";"149,07";"91,67";"63,89";"153,00";"161,21";"96,08";"13,68";"105,44"
"220150 BATALHA";"132,56";"145,24";"114,72";"101,67";"98,33";"75,00";"100,00";"79,09";"93,53";"13,39";"96,75"
"220155 BELA VISTA DO PIAUI";"112,73";"95,35";"108,33";"81,67";"70,00";"55,00";"146,15";"42,11";"88,00";"12,50";"79,51"
"220157 BELEM DO PIAUI";"65,31";"141,86";"94,12";"117,65";"111,76";"74,51";"152,63";"32,26";"78,95";"3,33";"91,22"
"220160 BENEDITINOS";"168,22";"108,39";"103,60";"105,04";"96,40";"66,91";"117,09";"93,38";"97,66";"0";"105,71"
"220170 BERTOLINIA";"78,30";"126,67";"105,88";"95,29";"110,59";"64,71";"125,58";"55,56";"88,17";"6,10";"85,21"
"220173 BETANIA DO PIAUI";"109,93";"121,10";"105,93";"104,24";"133,05";"82,20";"82,11";"70,91";"106,67";"0";"101,82"
"220177 BOA HORA";"124,04";"106,61";"100,83";"85,83";"88,33";"61,67";"86,73";"79,61";"101,11";"0";"92,28"
"220180 BOCAINA";"95,08";"72,73";"82,26";"93,55";"74,19";"77,42";"71,93";"70,59";"172,22";"33,33";"82,35"
"220190 BOM JESUS";"109,58";"105,45";"100,44";"101,54";"108,79";"80,44";"118,71";"98,35";"85,81";"1,99";"90,91"
"220191 BOM PRINCIPIO DO PIAUI";"98,23";"79,65";"83,76";"72,65";"79,49";"92,31";"73,00";"118,39";"129,89";"10,00";"83,46"
"220192 BONFIM DO PIAUI";"86,17";"95,12";"144,62";"95,38";"107,69";"98,46";"86,25";"83,33";"100,00";"8,97";"88,99"
"220194 BOQUEIRAO DO PIAUI";"112,87";"91,92";"95,83";"96,88";"102,08";"52,08";"70,23";"76,07";"121,78";"1,72";"80,46"
"220196 BRASILEIRA";"95,33";"75,47";"70,37";"108,64";"123,46";"83,95";"92,16";"90,20";"101,10";"4,44";"84,27"
"220198 BREJO DO PIAUI";"122,95";"92,06";"125,00";"128,33";"111,67";"53,33";"137,50";"127,78";"88,89";"0";"108,02"
"220200 BURITI DOS LOPES";"98,66";"90,38";"87,53";"71,88";"66,99";"50,86";"96,49";"57,89";"42,86";"4,46";"68,61"
"220202 BURITI DOS MONTES";"114,91";"100,00";"99,02";"85,29";"109,80";"60,78";"125,97";"23,66";"58,11";"0";"87,20"
"220205 CABECEIRAS DO PIAUI";"116,67";"114,93";"92,17";"78,92";"74,70";"64,46";"68,18";"94,84";"191,15";"18,64";"89,21"
"220207 CAJAZEIRAS DO PIAUI";"104,88";"104,55";"93,48";"71,74";"110,87";"56,52";"85,00";"66,67";"148,00";"70,27";"89,02"
"220208 CAJUEIRO DA PRAIA";"85,71";"130,48";"77,78";"103,03";"113,13";"62,63";"92,93";"60,71";"57,95";"7,69";"78,82"
"220209 CALDEIRAO GRANDE DO PIAUI";"112,94";"145,31";"102,63";"118,42";"107,89";"111,84";"116,39";"72,60";"125,93";"1,79";"102,87"
"220210 CAMPINAS DO PIAUI";"105,49";"90,32";"124,14";"105,75";"77,01";"49,43";"106,94";"71,88";"61,97";"6,78";"82,83"
"220211 CAMPO ALEGRE DO FIDALGO";"80,41";"69,15";"105,48";"98,63";"112,33";"57,53";"71,43";"81,43";"89,39";"0";"84,34"
"220213 CAMPO GRANDE DO PIAUI";"87,85";"118,60";"127,27";"130,30";"153,03";"86,36";"86,17";"62,24";"84,51";"15,28";"93,06"
"220217 CAMPO LARGO DO PIAUI";"124,82";"98,47";"116,52";"79,13";"116,52";"64,35";"114,05";"82,86";"100,97";"11,21";"91,65"
"220220 CAMPO MAIOR";"99,71";"111,80";"83,38";"77,50";"75,50";"53,38";"65,28";"52,64";"65,79";"1,23";"67,62"
"220225 CANAVIEIRA";"81,25";"148,89";"130,19";"84,91";"130,19";"75,47";"83,08";"112,12";"95,24";"9,30";"94,23"
"220230 CANTO DO BURITI";"91,19";"138,93";"103,83";"118,47";"124,39";"80,84";"93,43";"70,61";"55,30";"2,38";"89,90"
"220240 CAPITAO DE CAMPOS";"94,77";"82,08";"81,21";"92,73";"88,48";"67,27";"78,92";"118,44";"79,52";"2,01";"76,63"
"220245 CAPITAO GERVASIO OLIVEIRA";"94,25";"98,15";"96,49";"110,53";"136,84";"61,40";"75,44";"31,82";"159,26";"7,84";"85,77"
"220250 CARACOL";"114,20";"135,19";"103,06";"94,39";"69,39";"86,22";"78,61";"62,89";"52,63";"10,90";"81,33"
"220253 CARAUBAS DO PIAUI";"106,54";"91,96";"120,62";"103,09";"81,44";"77,32";"100,00";"38,95";"40,00";"1,25";"79,03"
"220255 CARIDADE DO PIAUI";"104,49";"89,87";"80,00";"95,56";"93,33";"62,22";"87,50";"61,90";"68,92";"2,78";"75,90"
"220260 CASTELO DO PIAUI";"101,23";"107,87";"110,40";"91,33";"101,45";"57,80";"108,96";"78,01";"81,35";"0,35";"85,54"
"220265 CAXINGO";"102,15";"119,77";"114,29";"95,24";"108,33";"119,05";"79,38";"66,67";"77,01";"6,67";"89,50"
"220270 COCAL";"117,45";"109,35";"89,46";"49,03";"80,22";"50,54";"71,14";"67,33";"88,59";"6,12";"75,27"
"220271 COCAL DE TELHA";"120,65";"120,90";"132,43";"90,54";"100,00";"90,54";"95,65";"115,09";"84,72";"1,33";"94,89"
"220272 COCAL DOS ALVES";"135,14";"121,84";"105,48";"113,70";"124,66";"134,25";"106,82";"112,79";"85,54";"1,33";"104,20"
"220273 COIVARAS";"89,06";"81,25";"116,13";"90,32";"103,23";"87,10";"107,14";"62,50";"85,71";"4,08";"84,51"
"220275 COLONIA DO GURGUEIA";"91,89";"102,54";"93,39";"89,26";"91,74";"64,46";"90,10";"87,65";"106,85";"12,20";"84,10"
"220277 COLONIA DO PIAUI";"105,71";"85,32";"107,07";"98,99";"82,83";"40,40";"112,99";"46,91";"69,23";"6,38";"76,06"
"220280 CONCEICAO DO CANINDE";"98,57";"147,27";"79,71";"102,90";"91,30";"91,30";"70,27";"153,06";"97,33";"9,84";"92,12"
"220285 CORONEL JOSE DIAS";"106,15";"86,89";"95,24";"84,13";"79,37";"50,79";"124,00";"116,67";"96,23";"14,52";"83,76"
"220290 CORRENTE";"102,33";"118,14";"106,41";"97,62";"144,66";"94,77";"111,58";"93,35";"97,56";"1,90";"97,23"
"220300 CRISTALANDIA DO PIAUI";"98,00";"94,94";"101,96";"87,58";"79,08";"83,01";"92,81";"67,16";"59,05";"23,01";"80,94"
"220310 CRISTINO CASTRO";"102,45";"100,00";"136,75";"94,58";"116,27";"54,82";"79,26";"61,08";"35,37";"0,65";"79,43"
"220320 CURIMATA";"102,65";"120,63";"96,63";"122,60";"118,27";"81,73";"102,96";"114,29";"54,82";"1,20";"94,35"
"220323 CURRAIS";"107,63";"105,45";"127,27";"128,28";"91,92";"62,63";"63,73";"64,56";"74,68";"10,39";"86,58"
"220325 CURRALINHOS";"209,30";"122,22";"100,00";"110,96";"97,26";"73,97";"140,68";"62,16";"79,37";"1,69";"95,50"
"220327 CURRAL NOVO DO PIAUI";"84,38";"104,11";"88,00";"98,00";"80,00";"58,00";"93,90";"88,75";"103,85";"7,46";"81,62"
"220330 DEMERVAL LOBAO";"120,40";"83,09";"118,85";"96,34";"110,47";"86,91";"97,64";"118,92";"126,20";"2,93";"95,41"
"220335 DIRCEU ARCOVERDE";"98,98";"92,86";"107,45";"88,30";"88,30";"72,34";"114,61";"31,00";"31,25";"4,76";"73,33"
"220340 DOM EXPEDITO LOPES";"120,00";"116,30";"109,47";"77,89";"72,63";"83,16";"112,79";"98,65";"87,64";"2,41";"88,48"
"220342 DOMINGOS MOURAO";"103,95";"83,75";"107,69";"67,95";"114,10";"58,97";"92,31";"84,85";"60,42";"9,09";"80,91"
"220345 DOM INOCENCIO";"128,70";"89,47";"118,00";"110,00";"111,00";"87,00";"100,00";"73,00";"73,56";"0";"99,67"
"220350 ELESBAO VELOSO";"96,49";"118,38";"93,58";"108,26";"100,00";"113,30";"110,53";"136,72";"97,42";"6,06";"99,70"
"220360 ELISEU MARTINS";"80,23";"110,26";"117,54";"101,75";"98,25";"101,75";"109,30";"32,14";"74,00";"5,88";"84,29"
"220370 ESPERANTINA";"122,19";"91,68";"100,44";"106,22";"105,04";"60,30";"102,83";"55,72";"34,67";"3,47";"78,36"
"220375 FARTURA DO PIAUI";"111,11";"110,77";"145,16";"112,90";"162,90";"101,61";"108,96";"24,14";"35,37";"4,17";"90,18"
"220380 FLORES DO PIAUI";"102,86";"111,27";"86,73";"75,51";"81,63";"54,08";"86,30";"55,71";"103,85";"4,76";"78,05"
"220385 FLORESTA DO PIAUI";"116,67";"110,00";"113,79";"82,76";"79,31";"89,66";"141,67";"70,37";"0";"0";"100,00"
"220390 FLORIANO";"107,71";"86,75";"91,42";"84,64";"112,18";"67,48";"78,44";"97,81";"110,67";"0,50";"82,75"
"220400 FRANCINOPOLIS";"105,33";"105,88";"103,39";"111,86";"138,98";"98,31";"116,67";"91,04";"55,32";"3,92";"95,32"
"220410 FRANCISCO AYRES";"113,24";"101,16";"154,84";"103,23";"95,16";"80,65";"112,90";"82,14";"71,67";"22,95";"94,54"
"220415 FRANCISCO MACEDO";"112,20";"77,50";"67,50";"67,50";"107,50";"62,50";"59,62";"90,48";"80,49";"4,00";"71,13"
"220420 FRANCISCO SANTOS";"100,83";"90,60";"117,61";"104,23";"111,97";"76,76";"86,36";"65,71";"10,53";"0";"88,25"
"220430 FRONTEIRAS";"89,13";"113,02";"122,73";"100,00";"83,52";"125,00";"85,71";"85,47";"82,73";"2,61";"90,23"
"220435 GEMINIANO";"89,11";"92,47";"124,68";"100,00";"109,09";"90,91";"79,52";"82,93";"45,33";"11,59";"83,72"
"220440 GILBUES";"109,18";"101,08";"105,50";"91,00";"94,50";"91,50";"81,40";"76,37";"107,94";"1,61";"86,50"
"220450 GUADALUPE";"108,44";"104,52";"120,00";"98,71";"109,68";"78,06";"91,71";"80,45";"88,75";"5,91";"87,27"
"220455 GUARIBAS";"98,89";"115,38";"102,33";"76,74";"96,51";"87,21";"77,65";"81,43";"65,67";"1,69";"83,62"
"220460 HUGO NAPOLEAO";"104,69";"160,47";"115,69";"123,53";"143,14";"84,31";"125,93";"51,11";"80,39";"14,00";"100,39"
"220465 ILHA GRANDE";"84,07";"90,91";"94,61";"72,46";"75,45";"37,13";"89,47";"95,08";"8,78";"0";"71,55"
"220470 INHUMA";"125,21";"106,93";"100,46";"100,00";"90,41";"88,58";"110,31";"70,73";"63,86";"10,45";"87,73"
"220480 IPIRANGA DO PIAUI";"97,59";"84,66";"103,60";"101,44";"104,32";"41,01";"102,22";"136,84";"86,92";"0";"94,46"
"220490 ISAIAS COELHO";"113,69";"124,06";"100,00";"105,19";"91,85";"53,33";"109,30";"85,16";"91,30";"16,00";"89,99"
"220500 ITAINOPOLIS";"89,80";"102,13";"107,91";"104,32";"80,58";"48,92";"111,65";"117,89";"99,13";"8,49";"87,17"
"220510 ITAUEIRA";"112,71";"102,47";"130,13";"106,41";"91,03";"61,54";"91,67";"63,40";"72,67";"5,79";"86,12"
"220515 JACOBINA DO PIAUI";"76,84";"134,38";"83,33";"93,06";"98,61";"133,33";"97,44";"77,08";"83,33";"1,32";"86,30"
"220520 JAICOS";"117,33";"102,64";"121,93";"111,90";"122,30";"55,39";"100,00";"54,92";"55,59";"3,95";"83,93"
"220525 JARDIM DO MULATO";"95,65";"112,00";"144,44";"66,67";"127,78";"70,37";"80,00";"81,25";"75,41";"37,70";"88,39"
"220527 JATOBA DO PIAUI";"104,90";"125,88";"96,77";"73,12";"63,44";"79,57";"88,46";"50,00";"200,00";"8,47";"88,37"
"220530 JERUMENHA";"102,53";"106,78";"152,46";"118,03";"163,93";"106,56";"53,09";"78,57";"67,74";"10,34";"91,62"
"220535 JOAO COSTA";"128,95";"145,24";"100,00";"97,44";"123,08";"94,87";"129,73";"81,82";"84,21";"0";"109,30"
"220540 JOAQUIM PIRES";"118,80";"96,21";"136,89";"111,65";"117,96";"100,49";"96,43";"68,72";"110,87";"33,66";"99,40"
"220545 JOCA MARQUES";"96,00";"81,08";"112,77";"98,94";"92,55";"86,17";"107,29";"62,65";"91,03";"24,69";"86,38"
"220550 JOSE DE FREITAS";"105,13";"100,98";"121,90";"121,38";"115,86";"77,76";"101,22";"69,80";"64,73";"3,71";"88,99"
"220551 JUAZEIRO DO PIAUI";"110,28";"119,32";"127,71";"103,61";"122,89";"59,04";"117,46";"89,33";"65,15";"1,41";"93,64"
"220552 JULIO BORGES";"113,79";"106,10";"128,26";"88,04";"94,57";"45,65";"111,11";"116,67";"61,86";"2,90";"86,95"
"220553 JUREMA";"103,41";"91,57";"100,00";"81,71";"114,63";"90,24";"80,00";"60,56";"50,00";"3,23";"80,15"
"220554 LAGOINHA DO PIAUI";"117,95";"129,41";"163,89";"102,78";"136,11";"125,00";"78,38";"53,85";"7,14";"2,78";"91,34"
